PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Georgia,2016,40,X,1.62466,X,X,X,X,X,X,903,53,55581
States,Georgia,2016,41,X,2.0006,X,X,X,X,X,X,1065,55,53234
States,Georgia,2016,42,X,1.96075,X,X,X,X,X,X,1114,55,56815
States,Georgia,2016,43,X,2.0084,X,X,X,X,X,X,1105,55,55019
States,Georgia,2016,44,X,2.36802,X,X,X,X,X,X,1334,55,56334
States,Georgia,2016,45,X,2.59163,X,X,X,X,X,X,1434,56,55332
States,Georgia,2016,46,X,2.56566,X,X,X,X,X,X,1440,56,56126
States,Georgia,2016,47,X,3.05187,X,X,X,X,X,X,1505,56,49314
States,Georgia,2016,48,X,2.68346,X,X,X,X,X,X,1538,56,57314
States,Georgia,2016,49,X,2.82757,X,X,X,X,X,X,1486,53,52554
States,Georgia,2016,50,X,3.15559,X,X,X,X,X,X,1544,55,48929
States,Georgia,2016,51,X,4.19486,X,X,X,X,X,X,1928,55,45961
States,Georgia,2016,52,X,4.48964,X,X,X,X,X,X,2084,54,46418
States,Georgia,2017,1,X,3.69019,X,X,X,X,X,X,1982,57,53710
States,Georgia,2017,2,X,3.39153,X,X,X,X,X,X,1923,58,56700
States,Georgia,2017,3,X,4.1903,X,X,X,X,X,X,2379,56,56774
States,Georgia,2017,4,X,4.17872,X,X,X,X,X,X,2370,58,56716
States,Georgia,2017,5,X,4.72879,X,X,X,X,X,X,2666,58,56378
States,Georgia,2017,6,X,5.08384,X,X,X,X,X,X,3038,58,59758
States,Georgia,2017,7,X,6.11265,X,X,X,X,X,X,3221,53,52694
States,Georgia,2017,8,X,5.99941,X,X,X,X,X,X,3464,58,57739
States,Georgia,2017,9,X,4.57355,X,X,X,X,X,X,2479,55,54203
States,Georgia,2017,10,X,4.4781,X,X,X,X,X,X,2487,57,55537
States,Georgia,2017,11,X,4.72268,X,X,X,X,X,X,2683,56,56811
States,Georgia,2017,12,X,5.21483,X,X,X,X,X,X,3146,54,60328
States,Georgia,2017,13,X,4.19851,X,X,X,X,X,X,2505,55,59664
States,Georgia,2017,14,X,2.9016,X,X,X,X,X,X,1503,54,51799
States,Georgia,2017,15,X,2.29336,X,X,X,X,X,X,1147,51,50014
States,Georgia,2017,16,X,1.98045,X,X,X,X,X,X,1027,53,51857
States,Georgia,2017,17,X,1.68891,X,X,X,X,X,X,905,51,53585
States,Georgia,2017,18,X,1.74979,X,X,X,X,X,X,929,53,53092
States,Georgia,2017,19,X,1.68077,X,X,X,X,X,X,862,52,51286
States,Georgia,2017,20,X,1.57397,X,X,X,X,X,X,804,53,51081
States,Georgia,2017,21,X,1.61768,X,X,X,X,X,X,749,52,46301
States,Georgia,2017,22,X,1.24511,X,X,X,X,X,X,608,51,48831
States,Georgia,2017,23,X,1.09005,X,X,X,X,X,X,547,53,50181
States,Georgia,2017,24,X,1.10279,X,X,X,X,X,X,554,52,50236
States,Georgia,2017,25,X,0.946014,X,X,X,X,X,X,467,50,49365
States,Georgia,2017,26,X,0.941247,X,X,X,X,X,X,438,50,46534
States,Georgia,2017,27,X,1.04752,X,X,X,X,X,X,470,48,44868
